"","datetime","record","BattV","PTemp_C","Ta_2m","Huma_2m","Ta_10m","Huma_10m","rad_sw_in","rad_sw_out","rad_lw_in","rad_lw_out","CNR4TC","CNR4TK","RsNet","RlNet","Albedo","rad_net","LUpCo","LDnCo","water_vol_soil","EC","Ts","P","PA","VR","heatflux_soil","Windspeed_2m","Wind_direction_3m","WSDiag_1","Windspeed_10m","Wind_direction_10m","WSDiag_2","PCP"
"58329","2018-08-19 00:00:00",1315,13.19,14.67,13.78,72.27,14.61,66.69,0.25,0.752,-7.275,1.543,13.64,286.8,-0.501,-8.82,"0.652",-9.32,376.3,385.1,0.034,0.004,16.92,3.165,1.194,1.005,"0.4793092",0.276,29.6,0,"0.231",32.23,0,"0.0"
"58330","2018-08-19 00:05:00",1316,13.19,14.64,14.04,71.35,14.56,66.96,1.046,1.428,-7.865,1.729,13.71,286.9,-0.382,-9.59,"1.384",-9.98,376.1,385.7,0.034,0.004,16.92,3.164,1.194,1.005,"0.4268043",0.3,352.2,0,"0.351",18.04,0,"0.0"
"58331","2018-08-19 00:10:00",1317,13.18,14.63,13.77,73.64,14.53,67.34,-0.614,0,-8.99,-1.517,13.72,286.9,-0.614,-7.475,"-0.321",-8.09,375,382.5,0.034,0.004,16.9,3.165,1.194,1.005,"0.3748644",0.286,324.3,0,"0.351",12.09,0,"0.0"
"58332","2018-08-19 00:15:00",1318,13.18,14.6,13.53,74.97,14.47,67.46,-1.092,-0.251,-8.94,-1.117,13.63,286.8,-0.841,-7.823,"0.231",-8.66,374.6,382.4,0.034,0.004,16.89,3.166,1.194,1.005,"0.3302639",0.139,0,0,"0.211",360,0,"0.0"
"58333","2018-08-19 00:20:00",1319,13.18,14.56,13.37,77,14.42,67.73,-0.978,-0.301,-8.53,-1.011,13.54,286.7,-0.677,-7.52,"0.281",-8.2,374.5,382,0.034,0.004,16.88,3.166,1.194,1.005,"0.2901799",0.249,321.6,0,"0.303",5.597,0,"0.0"
"58334","2018-08-19 00:25:00",1320,13.18,14.52,13.14,77.03,14.38,68.01,-1.137,-0.426,-8.76,-0.958,13.42,286.6,-0.711,-7.803,"0.374",-8.51,373.7,381.5,0.034,0.004,16.87,3.165,1.194,1.005,"0.2331596",0.156,0,0,"0.196",8.4,0,"0.0"
"58335","2018-08-19 00:30:00",1321,13.17,14.46,13.09,76.95,14.27,68.41,-0.864,-0.15,-8.17,-0.506,13.35,286.5,-0.714,-7.666,"0.123",-8.38,373.8,381.5,0.034,0.004,16.87,3.165,1.194,1.005,"0.1772687",0.115,0,0,"0.22",340.1,0,"0.0"
"58336","2018-08-19 00:35:00",1322,13.18,14.41,13.16,76.65,14.22,68.73,-0.364,0.251,-7.608,-0.319,13.29,286.4,-0.615,-7.289,"NULL",-7.904,374.1,381.4,0.034,0.004,16.86,3.165,1.194,1.005,"0.133798",0.226,320.3,0,"0.375",333.6,0,"0.0"
"58337","2018-08-19 00:40:00",1323,13.18,14.35,12.97,76.99,14.14,69.23,-0.91,-0.276,-8.4,-0.878,13.21,286.4,-0.634,-7.525,"0.308",-8.16,372.9,380.4,0.034,0.004,16.84,3.165,1.194,1.005,"0.08073039",0.253,353.9,0,"0.336",334.2,0,"0.0"
"58338","2018-08-19 00:45:00",1324,13.17,14.3,13.06,77.26,14.1,69.44,-0.114,0.501,-7.532,0.399,13.18,286.3,-0.615,-7.931,"NULL",-8.55,373.6,381.5,0.034,0.004,16.84,3.166,1.194,1.005,"0.05024479",0.368,331.1,0,"0.324",358.7,0,"0.0"
